country,region,region_code,lat,lon,population,pop_source,temp_c,humidity_pct,climate_source,climate_flag,regulatory_raw,regulatory_note,direct_intent,unaware_intent,demand_note,s_nopong,s_woohoo,s_kindly,s_blackchicken,s_noosa,s_native,s_schmidts,z_stability,comp_note
NZ,Northland,NTL,-35.5,173.8,201100,Stats NZ subnational estimate 2025,15.8,80,NIWA annual normals (main-centre proxy),approximate,3.2,National plastics phase-out; coastal council waste initiatives,47,57,Trends UI 2026-06-15,0,0,0,0,0,0,2,0.4,"Schmidt's (Chemist Warehouse NZ) only; AU indie brands absent (thin, confidence-gated)"
NZ,Auckland,AUK,-36.8,174.7,1816000,Stats NZ subnational estimate 2025,15.3,80,NIWA annual normals (main-centre proxy),approximate,3.5,National phase-out + Auckland Council zero-waste plan,27,77,Trends UI 2026-06-15,1,1,0,0,0,0,2,0.4,Schmidt's (Chemist Warehouse NZ) + No Pong/Woohoo online in main metros
NZ,Waikato,WKO,-37.8,175.3,532100,Stats NZ subnational estimate 2025,13.7,82,NIWA annual normals (main-centre proxy),approximate,3.0,National phase-out applies,24,70,Trends UI 2026-06-15,0,0,0,0,0,0,2,0.4,"Schmidt's (Chemist Warehouse NZ) only; AU indie brands absent (thin, confidence-gated)"
NZ,Bay of Plenty,BOP,-38.0,176.7,351500,Stats NZ subnational estimate 2025,14.2,80,NIWA annual normals (main-centre proxy),approximate,3.0,National phase-out applies,20,76,Trends UI 2026-06-15,0,0,0,0,0,0,2,0.4,"Schmidt's (Chemist Warehouse NZ) only; AU indie brands absent (thin, confidence-gated)"
NZ,Gisborne,GIS,-38.4,177.9,52700,Stats NZ subnational estimate 2025,14.3,78,NIWA annual normals (main-centre proxy),approximate,3.0,National phase-out applies,0,40,no Trends data either axis; imputed,0,0,0,0,0,0,2,0.2,"Schmidt's (Chemist Warehouse NZ) only; AU indie brands absent (thin, confidence-gated)"
NZ,Hawke's Bay,HKB,-39.3,176.7,179700,Stats NZ subnational estimate 2025,14.1,75,NIWA annual normals (main-centre proxy),approximate,3.0,National phase-out applies,0,52,direct below threshold; imputed 0,0,0,0,0,0,0,2,0.2,"Schmidt's (Chemist Warehouse NZ) only; AU indie brands absent (thin, confidence-gated)"
NZ,Taranaki,TKI,-39.3,174.3,130300,Stats NZ subnational estimate 2025,13.6,82,NIWA annual normals (main-centre proxy),approximate,3.0,National phase-out applies,1,53,Trends UI 2026-06-15,0,0,0,0,0,0,2,0.4,"Schmidt's (Chemist Warehouse NZ) only; AU indie brands absent (thin, confidence-gated)"
NZ,Manawatu-Whanganui,MWT,-39.7,175.6,260700,Stats NZ subnational estimate 2025,13.0,80,NIWA annual normals (main-centre proxy),approximate,3.0,National phase-out applies,25,72,Trends UI 2026-06-15,0,0,0,0,0,0,2,0.4,"Schmidt's (Chemist Warehouse NZ) only; AU indie brands absent (thin, confidence-gated)"
NZ,Wellington,WGN,-41.1,175.1,543400,Stats NZ subnational estimate 2025,12.8,80,NIWA annual normals (main-centre proxy),approximate,3.5,National phase-out + active regional sustainability programs,27,100,Trends UI 2026-06-15,1,1,0,0,0,0,2,0.4,Schmidt's (Chemist Warehouse NZ) + No Pong/Woohoo online in main metros
NZ,Tasman,TAS,-41.4,172.7,59900,Stats NZ subnational estimate 2025,12.6,80,NIWA annual normals (main-centre proxy),approximate,3.3,National phase-out; strong local eco profile,0,93,direct below threshold; imputed 0,0,0,0,0,0,0,2,0.2,"Schmidt's (Chemist Warehouse NZ) only; AU indie brands absent (thin, confidence-gated)"
NZ,Nelson,NSN,-41.3,173.3,54300,Stats NZ subnational estimate 2025,12.9,78,NIWA annual normals (main-centre proxy),approximate,3.3,National phase-out; strong local eco profile,0,98,direct below threshold; imputed 0,0,0,0,0,0,0,2,0.2,"Schmidt's (Chemist Warehouse NZ) only; AU indie brands absent (thin, confidence-gated)"
NZ,Marlborough,MBH,-41.6,173.8,50800,Stats NZ subnational estimate 2025,12.9,76,NIWA annual normals (main-centre proxy),approximate,3.0,National phase-out applies,100,87,small-population inflation likely,0,0,0,0,0,0,2,0.4,"Schmidt's (Chemist Warehouse NZ) only; AU indie brands absent (thin, confidence-gated)"
NZ,West Coast,WTC,-42.8,171.0,34700,Stats NZ subnational estimate 2025,11.8,85,NIWA annual normals (main-centre proxy),approximate,3.0,National phase-out applies,0,40,no Trends data either axis; imputed,0,0,0,0,0,0,2,0.2,"Schmidt's (Chemist Warehouse NZ) only; AU indie brands absent (thin, confidence-gated)"
NZ,Canterbury,CAN,-43.5,171.8,698200,Stats NZ subnational estimate 2025,11.8,76,NIWA annual normals (main-centre proxy),approximate,3.0,National phase-out applies,29,69,Trends UI 2026-06-15,1,1,0,0,0,0,2,0.4,Schmidt's (Chemist Warehouse NZ) + No Pong/Woohoo online in main metros
NZ,Otago,OTA,-45.4,169.4,253900,Stats NZ subnational estimate 2025,10.8,76,NIWA annual normals (main-centre proxy),approximate,3.0,National phase-out applies,24,61,Trends UI 2026-06-15,0,0,0,0,0,0,2,0.4,"Schmidt's (Chemist Warehouse NZ) only; AU indie brands absent (thin, confidence-gated)"
NZ,Southland,STL,-45.9,167.9,104800,Stats NZ subnational estimate 2025,9.9,82,NIWA annual normals (main-centre proxy),approximate,3.0,National phase-out applies,0,50,direct below threshold; imputed 0,0,0,0,0,0,0,2,0.2,"Schmidt's (Chemist Warehouse NZ) only; AU indie brands absent (thin, confidence-gated)"
